domain_id,micro_credential_id,micro_credential_title,competency_order,competency_id,competency_name,rubric_version,criterion_id,criterion_name,criterion_descriptor,evidence_required,weight,binary_scoring,pass_threshold,question_type,scenario_variation_rule,reattempt_rule,question_format_rule,integrity_rule,locked_status
22,197,AI Prompt Engineer,5,65,Handle edge cases,1,c2,Applied execution,Applies Handle edge cases correctly in a realistic scenario using an appropriate method or sequence of steps.,"Demonstrates a valid workflow, procedure, or prompt design for Handle edge cases.",0.3,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,5,65,Handle edge cases,1,c3,Reasoned justification,Explains why the chosen approach for Handle edge cases is appropriate for the scenario and constraints.,"Provides clear reasoning, not only steps, and connects decisions to the scenario context.",0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,5,65,Handle edge cases,1,c4,Risk and quality control,"Identifies at least one risk, limitation, validation check, or quality-control step relevant to Handle edge cases.","Shows awareness of errors, tradeoffs, or controls needed before accepting the result.",0.2,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,6,66,Reduce hallucinations,1,c1,Objective framing,"Identifies the correct objective, scope, or decision point for Reduce hallucinations in the scenario.",Clearly states what Reduce hallucinations must accomplish and what the learner is solving for.,0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,6,66,Reduce hallucinations,1,c2,Applied execution,Applies Reduce hallucinations correctly in a realistic scenario using an appropriate method or sequence of steps.,"Demonstrates a valid workflow, procedure, or prompt design for Reduce hallucinations.",0.3,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,6,66,Reduce hallucinations,1,c3,Reasoned justification,Explains why the chosen approach for Reduce hallucinations is appropriate for the scenario and constraints.,"Provides clear reasoning, not only steps, and connects decisions to the scenario context.",0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,6,66,Reduce hallucinations,1,c4,Risk and quality control,"Identifies at least one risk, limitation, validation check, or quality-control step relevant to Reduce hallucinations.","Shows awareness of errors, tradeoffs, or controls needed before accepting the result.",0.2,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,7,67,Apply task decomposition,1,c1,Objective framing,"Identifies the correct objective, scope, or decision point for Apply task decomposition in the scenario.",Clearly states what Apply task decomposition must accomplish and what the learner is solving for.,0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,7,67,Apply task decomposition,1,c2,Applied execution,Applies Apply task decomposition correctly in a realistic scenario using an appropriate method or sequence of steps.,"Demonstrates a valid workflow, procedure, or prompt design for Apply task decomposition.",0.3,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,7,67,Apply task decomposition,1,c3,Reasoned justification,Explains why the chosen approach for Apply task decomposition is appropriate for the scenario and constraints.,"Provides clear reasoning, not only steps, and connects decisions to the scenario context.",0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,7,67,Apply task decomposition,1,c4,Risk and quality control,"Identifies at least one risk, limitation, validation check, or quality-control step relevant to Apply task decomposition.","Shows awareness of errors, tradeoffs, or controls needed before accepting the result.",0.2,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,8,68,Validate outputs,1,c1,Objective framing,"Identifies the correct objective, scope, or decision point for Validate outputs in the scenario.",Clearly states what Validate outputs must accomplish and what the learner is solving for.,0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,8,68,Validate outputs,1,c2,Applied execution,Applies Validate outputs correctly in a realistic scenario using an appropriate method or sequence of steps.,"Demonstrates a valid workflow, procedure, or prompt design for Validate outputs.",0.3,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,8,68,Validate outputs,1,c3,Reasoned justification,Explains why the chosen approach for Validate outputs is appropriate for the scenario and constraints.,"Provides clear reasoning, not only steps, and connects decisions to the scenario context.",0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,8,68,Validate outputs,1,c4,Risk and quality control,"Identifies at least one risk, limitation, validation check, or quality-control step relevant to Validate outputs.","Shows awareness of errors, tradeoffs, or controls needed before accepting the result.",0.2,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,9,69,Use system instructions,1,c1,Objective framing,"Identifies the correct objective, scope, or decision point for Use system instructions in the scenario.",Clearly states what Use system instructions must accomplish and what the learner is solving for.,0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,9,69,Use system instructions,1,c2,Applied execution,Applies Use system instructions correctly in a realistic scenario using an appropriate method or sequence of steps.,"Demonstrates a valid workflow, procedure, or prompt design for Use system instructions.",0.3,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,9,69,Use system instructions,1,c3,Reasoned justification,Explains why the chosen approach for Use system instructions is appropriate for the scenario and constraints.,"Provides clear reasoning, not only steps, and connects decisions to the scenario context.",0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,9,69,Use system instructions,1,c4,Risk and quality control,"Identifies at least one risk, limitation, validation check, or quality-control step relevant to Use system instructions.","Shows awareness of errors, tradeoffs, or controls needed before accepting the result.",0.2,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,10,70,Build reusable prompt templates,1,c1,Objective framing,"Identifies the correct objective, scope, or decision point for Build reusable prompt templates in the scenario.",Clearly states what Build reusable prompt templates must accomplish and what the learner is solving for.,0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,10,70,Build reusable prompt templates,1,c2,Applied execution,Applies Build reusable prompt templates correctly in a realistic scenario using an appropriate method or sequence of steps.,"Demonstrates a valid workflow, procedure, or prompt design for Build reusable prompt templates.",0.3,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,10,70,Build reusable prompt templates,1,c3,Reasoned justification,Explains why the chosen approach for Build reusable prompt templates is appropriate for the scenario and constraints.,"Provides clear reasoning, not only steps, and connects decisions to the scenario context.",0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,10,70,Build reusable prompt templates,1,c4,Risk and quality control,"Identifies at least one risk, limitation, validation check, or quality-control step relevant to Build reusable prompt templates.","Shows awareness of errors, tradeoffs, or controls needed before accepting the result.",0.2,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,198,AI Project Manager,1,71,Define AI scope,1,c1,Objective framing,"Identifies the correct objective, scope, or decision point for Define AI scope in the scenario.",Clearly states what Define AI scope must accomplish and what the learner is solving for.,0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,198,AI Project Manager,1,71,Define AI scope,1,c2,Applied execution,Applies Define AI scope correctly in a realistic scenario using an appropriate method or sequence of steps.,"Demonstrates a valid workflow, procedure, or prompt design for Define AI scope.",0.3,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,198,AI Project Manager,1,71,Define AI scope,1,c3,Reasoned justification,Explains why the chosen approach for Define AI scope is appropriate for the scenario and constraints.,"Provides clear reasoning, not only steps, and connects decisions to the scenario context.",0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,198,AI Project Manager,1,71,Define AI scope,1,c4,Risk and quality control,"Identifies at least one risk, limitation, validation check, or quality-control step relevant to Define AI scope.","Shows awareness of errors, tradeoffs, or controls needed before accepting the result.",0.2,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,198,AI Project Manager,2,72,Translate business needs,1,c1,Objective framing,"Identifies the correct objective, scope, or decision point for Translate business needs in the scenario.",Clearly states what Translate business needs must accomplish and what the learner is solving for.,0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,198,AI Project Manager,2,72,Translate business needs,1,c2,Applied execution,Applies Translate business needs correctly in a realistic scenario using an appropriate method or sequence of steps.,"Demonstrates a valid workflow, procedure, or prompt design for Translate business needs.",0.3,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,198,AI Project Manager,2,72,Translate business needs,1,c3,Reasoned justification,Explains why the chosen approach for Translate business needs is appropriate for the scenario and constraints.,"Provides clear reasoning, not only steps, and connects decisions to the scenario context.",0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,198,AI Project Manager,2,72,Translate business needs,1,c4,Risk and quality control,"Identifies at least one risk, limitation, validation check, or quality-control step relevant to Translate business needs.","Shows awareness of errors, tradeoffs, or controls needed before accepting the result.",0.2,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,198,AI Project Manager,3,73,Manage AI risks,1,c1,Objective framing,"Identifies the correct objective, scope, or decision point for Manage AI risks in the scenario.",Clearly states what Manage AI risks must accomplish and what the learner is solving for.,0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,198,AI Project Manager,3,73,Manage AI risks,1,c2,Applied execution,Applies Manage AI risks correctly in a realistic scenario using an appropriate method or sequence of steps.,"Demonstrates a valid workflow, procedure, or prompt design for Manage AI risks.",0.3,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,198,AI Project Manager,3,73,Manage AI risks,1,c3,Reasoned justification,Explains why the chosen approach for Manage AI risks is appropriate for the scenario and constraints.,"Provides clear reasoning, not only steps, and connects decisions to the scenario context.",0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,198,AI Project Manager,3,73,Manage AI risks,1,c4,Risk and quality control,"Identifies at least one risk, limitation, validation check, or quality-control step relevant to Manage AI risks.","Shows awareness of errors, tradeoffs, or controls needed before accepting the result.",0.2,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,198,AI Project Manager,4,74,Timeline planning,1,c1,Objective framing,"Identifies the correct objective, scope, or decision point for Timeline planning in the scenario.",Clearly states what Timeline planning must accomplish and what the learner is solving for.,0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,198,AI Project Manager,4,74,Timeline planning,1,c2,Applied execution,Applies Timeline planning correctly in a realistic scenario using an appropriate method or sequence of steps.,"Demonstrates a valid workflow, procedure, or prompt design for Timeline planning.",0.3,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,198,AI Project Manager,4,74,Timeline planning,1,c3,Reasoned justification,Explains why the chosen approach for Timeline planning is appropriate for the scenario and constraints.,"Provides clear reasoning, not only steps, and connects decisions to the scenario context.",0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,198,AI Project Manager,4,74,Timeline planning,1,c4,Risk and quality control,"Identifies at least one risk, limitation, validation check, or quality-control step relevant to Timeline planning.","Shows awareness of errors, tradeoffs, or controls needed before accepting the result.",0.2,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,198,AI Project Manager,5,75,Stakeholder coordination,1,c1,Objective framing,"Identifies the correct objective, scope, or decision point for Stakeholder coordination in the scenario.",Clearly states what Stakeholder coordination must accomplish and what the learner is solving for.,0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
