domain_id,domain_name,micro_credential_id,micro_credential_title,micro_credential_level,competency_order,competency_id,competency_name,competency_description,rubric_version,criterion_id,criterion_name,criterion_descriptor,evidence_required,weight,binary_scoring,pass_threshold,question_type,scenario_variation_rule,reattempt_rule,question_format_rule,integrity_rule,locked_status,source
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,3,3,Control tone & format,"Control AI output style and format by applying role-based, system-level, and persona prompts appropriate to organizational communication requirements",1,c3,Reasoned justification,"Explains why the chosen approach for Control tone & format is appropriate for the scenario, constraints, and desired outcome.",Provides explicit reasoning tied to the scenario rather than only listing steps.,0.25,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,3,3,Control tone & format,"Control AI output style and format by applying role-based, system-level, and persona prompts appropriate to organizational communication requirements",1,c4,Risk and quality control,"Identifies at least one risk, limitation, validation step, or quality-control measure relevant to Control tone & format.","Shows awareness of errors, tradeoffs, monitoring, or validation before accepting the result.",0.2,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,4,4,Chain prompts logically,"Chain multi-step prompts logically to decompose complex organizational tasks into sequential, AI-executable instructions with predictable outcomes",1,c1,Objective framing,"Identifies the correct objective, scope, and decision point for Chain prompts logically in the scenario.",Clearly states what Chain prompts logically must accomplish and what problem the learner is solving.,0.25,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,4,4,Chain prompts logically,"Chain multi-step prompts logically to decompose complex organizational tasks into sequential, AI-executable instructions with predictable outcomes",1,c2,Applied execution,"Applies Chain prompts logically correctly in a realistic scenario using an appropriate method, sequence, or workflow.","Demonstrates a valid step-by-step workflow, method, or solution design for Chain prompts logically.",0.3,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,4,4,Chain prompts logically,"Chain multi-step prompts logically to decompose complex organizational tasks into sequential, AI-executable instructions with predictable outcomes",1,c3,Reasoned justification,"Explains why the chosen approach for Chain prompts logically is appropriate for the scenario, constraints, and desired outcome.",Provides explicit reasoning tied to the scenario rather than only listing steps.,0.25,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,4,4,Chain prompts logically,"Chain multi-step prompts logically to decompose complex organizational tasks into sequential, AI-executable instructions with predictable outcomes",1,c4,Risk and quality control,"Identifies at least one risk, limitation, validation step, or quality-control measure relevant to Chain prompts logically.","Shows awareness of errors, tradeoffs, monitoring, or validation before accepting the result.",0.2,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,5,5,Handle edge cases,Identify and resolve edge cases and ambiguities in prompt design to ensure consistent and reliable AI performance across diverse business inputs,1,c1,Objective framing,"Identifies the correct objective, scope, and decision point for Handle edge cases in the scenario.",Clearly states what Handle edge cases must accomplish and what problem the learner is solving.,0.25,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,5,5,Handle edge cases,Identify and resolve edge cases and ambiguities in prompt design to ensure consistent and reliable AI performance across diverse business inputs,1,c2,Applied execution,"Applies Handle edge cases correctly in a realistic scenario using an appropriate method, sequence, or workflow.","Demonstrates a valid step-by-step workflow, method, or solution design for Handle edge cases.",0.3,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,5,5,Handle edge cases,Identify and resolve edge cases and ambiguities in prompt design to ensure consistent and reliable AI performance across diverse business inputs,1,c3,Reasoned justification,"Explains why the chosen approach for Handle edge cases is appropriate for the scenario, constraints, and desired outcome.",Provides explicit reasoning tied to the scenario rather than only listing steps.,0.25,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,5,5,Handle edge cases,Identify and resolve edge cases and ambiguities in prompt design to ensure consistent and reliable AI performance across diverse business inputs,1,c4,Risk and quality control,"Identifies at least one risk, limitation, validation step, or quality-control measure relevant to Handle edge cases.","Shows awareness of errors, tradeoffs, monitoring, or validation before accepting the result.",0.2,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,6,6,Reduce hallucinations,Apply hallucination-reduction strategies including context grounding and retrieval-augmented generation principles to improve AI output accuracy,1,c1,Objective framing,"Identifies the correct objective, scope, and decision point for Reduce hallucinations in the scenario.",Clearly states what Reduce hallucinations must accomplish and what problem the learner is solving.,0.25,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,6,6,Reduce hallucinations,Apply hallucination-reduction strategies including context grounding and retrieval-augmented generation principles to improve AI output accuracy,1,c2,Applied execution,"Applies Reduce hallucinations correctly in a realistic scenario using an appropriate method, sequence, or workflow.","Demonstrates a valid step-by-step workflow, method, or solution design for Reduce hallucinations.",0.3,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,6,6,Reduce hallucinations,Apply hallucination-reduction strategies including context grounding and retrieval-augmented generation principles to improve AI output accuracy,1,c3,Reasoned justification,"Explains why the chosen approach for Reduce hallucinations is appropriate for the scenario, constraints, and desired outcome.",Provides explicit reasoning tied to the scenario rather than only listing steps.,0.25,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,6,6,Reduce hallucinations,Apply hallucination-reduction strategies including context grounding and retrieval-augmented generation principles to improve AI output accuracy,1,c4,Risk and quality control,"Identifies at least one risk, limitation, validation step, or quality-control measure relevant to Reduce hallucinations.","Shows awareness of errors, tradeoffs, monitoring, or validation before accepting the result.",0.2,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,7,7,Apply task decomposition,Implement task decomposition frameworks that break complex organizational challenges into discrete AI-solvable components with measurable deliverables,1,c1,Objective framing,"Identifies the correct objective, scope, and decision point for Apply task decomposition in the scenario.",Clearly states what Apply task decomposition must accomplish and what problem the learner is solving.,0.25,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,7,7,Apply task decomposition,Implement task decomposition frameworks that break complex organizational challenges into discrete AI-solvable components with measurable deliverables,1,c2,Applied execution,"Applies Apply task decomposition correctly in a realistic scenario using an appropriate method, sequence, or workflow.","Demonstrates a valid step-by-step workflow, method, or solution design for Apply task decomposition.",0.3,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,7,7,Apply task decomposition,Implement task decomposition frameworks that break complex organizational challenges into discrete AI-solvable components with measurable deliverables,1,c3,Reasoned justification,"Explains why the chosen approach for Apply task decomposition is appropriate for the scenario, constraints, and desired outcome.",Provides explicit reasoning tied to the scenario rather than only listing steps.,0.25,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,7,7,Apply task decomposition,Implement task decomposition frameworks that break complex organizational challenges into discrete AI-solvable components with measurable deliverables,1,c4,Risk and quality control,"Identifies at least one risk, limitation, validation step, or quality-control measure relevant to Apply task decomposition.","Shows awareness of errors, tradeoffs, monitoring, or validation before accepting the result.",0.2,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,8,8,Validate outputs,"Validate AI-generated outputs against accuracy, relevance, safety, and professional quality criteria using structured evaluation rubrics",1,c1,Objective framing,"Identifies the correct objective, scope, and decision point for Validate outputs in the scenario.",Clearly states what Validate outputs must accomplish and what problem the learner is solving.,0.25,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,8,8,Validate outputs,"Validate AI-generated outputs against accuracy, relevance, safety, and professional quality criteria using structured evaluation rubrics",1,c2,Applied execution,"Applies Validate outputs correctly in a realistic scenario using an appropriate method, sequence, or workflow.","Demonstrates a valid step-by-step workflow, method, or solution design for Validate outputs.",0.3,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,8,8,Validate outputs,"Validate AI-generated outputs against accuracy, relevance, safety, and professional quality criteria using structured evaluation rubrics",1,c3,Reasoned justification,"Explains why the chosen approach for Validate outputs is appropriate for the scenario, constraints, and desired outcome.",Provides explicit reasoning tied to the scenario rather than only listing steps.,0.25,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,8,8,Validate outputs,"Validate AI-generated outputs against accuracy, relevance, safety, and professional quality criteria using structured evaluation rubrics",1,c4,Risk and quality control,"Identifies at least one risk, limitation, validation step, or quality-control measure relevant to Validate outputs.","Shows awareness of errors, tradeoffs, monitoring, or validation before accepting the result.",0.2,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,9,9,Use system instructions,"Configure system-level instructions to define AI persona, behavioral boundaries, and response parameters for enterprise-wide deployment contexts",1,c1,Objective framing,"Identifies the correct objective, scope, and decision point for Use system instructions in the scenario.",Clearly states what Use system instructions must accomplish and what problem the learner is solving.,0.25,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,9,9,Use system instructions,"Configure system-level instructions to define AI persona, behavioral boundaries, and response parameters for enterprise-wide deployment contexts",1,c2,Applied execution,"Applies Use system instructions correctly in a realistic scenario using an appropriate method, sequence, or workflow.","Demonstrates a valid step-by-step workflow, method, or solution design for Use system instructions.",0.3,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,9,9,Use system instructions,"Configure system-level instructions to define AI persona, behavioral boundaries, and response parameters for enterprise-wide deployment contexts",1,c3,Reasoned justification,"Explains why the chosen approach for Use system instructions is appropriate for the scenario, constraints, and desired outcome.",Provides explicit reasoning tied to the scenario rather than only listing steps.,0.25,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,9,9,Use system instructions,"Configure system-level instructions to define AI persona, behavioral boundaries, and response parameters for enterprise-wide deployment contexts",1,c4,Risk and quality control,"Identifies at least one risk, limitation, validation step, or quality-control measure relevant to Use system instructions.","Shows awareness of errors, tradeoffs, monitoring, or validation before accepting the result.",0.2,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,10,10,Build reusable prompt templates,Build and maintain reusable prompt template libraries that standardize AI interactions and accelerate team productivity across organizational functions,1,c1,Objective framing,"Identifies the correct objective, scope, and decision point for Build reusable prompt templates in the scenario.",Clearly states what Build reusable prompt templates must accomplish and what problem the learner is solving.,0.25,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,10,10,Build reusable prompt templates,Build and maintain reusable prompt template libraries that standardize AI interactions and accelerate team productivity across organizational functions,1,c2,Applied execution,"Applies Build reusable prompt templates correctly in a realistic scenario using an appropriate method, sequence, or workflow.","Demonstrates a valid step-by-step workflow, method, or solution design for Build reusable prompt templates.",0.3,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,10,10,Build reusable prompt templates,Build and maintain reusable prompt template libraries that standardize AI interactions and accelerate team productivity across organizational functions,1,c3,Reasoned justification,"Explains why the chosen approach for Build reusable prompt templates is appropriate for the scenario, constraints, and desired outcome.",Provides explicit reasoning tied to the scenario rather than only listing steps.,0.25,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
